"","Taxon","IUCNName","Year","IUCN_code","ID"
"12124","Naultinus """"north cape""""","Naultinus """"north cape""""",1997,"NE","Naultinus """"north cape""""_1997_Not assessed"
"12125","Naultinus """"north cape""""","Naultinus """"north cape""""",1998,"NE","Naultinus """"north cape""""_1998_Not assessed"
"12126","Naultinus """"north cape""""","Naultinus """"north cape""""",1999,"NE","Naultinus """"north cape""""_1999_Not assessed"
"12127","Naultinus """"north cape""""","Naultinus """"north cape""""",2000,"NE","Naultinus """"north cape""""_2000_Not assessed"
"12128","Naultinus """"north cape""""","Naultinus """"north cape""""",2001,"NE","Naultinus """"north cape""""_2001_Not assessed"
"12129","Naultinus """"north cape""""","Naultinus """"north cape""""",2002,"NE","Naultinus """"north cape""""_2002_Not assessed"
"12130","Naultinus """"north cape""""","Naultinus """"north cape""""",2003,"NE","Naultinus """"north cape""""_2003_Not assessed"
"12131","Naultinus """"north cape""""","Naultinus """"north cape""""",2004,"NE","Naultinus """"north cape""""_2004_Not assessed"
"12132","Naultinus """"north cape""""","Naultinus """"north cape""""",2005,"NE","Naultinus """"north cape""""_2005_Not assessed"
"12133","Naultinus """"north cape""""","Naultinus """"north cape""""",2006,"NE","Naultinus """"north cape""""_2006_Not assessed"
"12134","Naultinus """"north cape""""","Naultinus """"north cape""""",2007,"NE","Naultinus """"north cape""""_2007_Not assessed"
"12135","Naultinus """"north cape""""","Naultinus """"north cape""""",2008,"NE","Naultinus """"north cape""""_2008_Not assessed"
"12136","Naultinus """"north cape""""","Naultinus """"north cape""""",2009,"NE","Naultinus """"north cape""""_2009_Not assessed"
"12137","Naultinus """"north cape""""","Naultinus """"north cape""""",2010,"NE","Naultinus """"north cape""""_2010_Not assessed"
"12138","Naultinus """"north cape""""","Naultinus """"north cape""""",2011,"NE","Naultinus """"north cape""""_2011_Not assessed"
"12139","Naultinus """"north cape""""","Naultinus """"north cape""""",2012,"NE","Naultinus """"north cape""""_2012_Not assessed"
"12140","Naultinus """"north cape""""","Naultinus """"north cape""""",2013,"NE","Naultinus """"north cape""""_2013_Not assessed"
